Broker    Stock          Value     Changes   Date and Time
Broker 4  Commodity      674       15        2/28/2021 9:46:03 PM
Broker 1  Retail         39        16        2/28/2021 9:46:04 PM
Broker 4  Retail         39        16        2/28/2021 9:46:04 PM
Broker 2  Banking        110       16        2/28/2021 9:46:04 PM
Broker 1  Technology     192       16        2/28/2021 9:46:04 PM
Broker 2  Technology     192       16        2/28/2021 9:46:04 PM
Broker 3  Technology     192       16        2/28/2021 9:46:04 PM
Broker 4  Technology     192       16        2/28/2021 9:46:04 PM
Broker 3  Banking        110       16        2/28/2021 9:46:04 PM
Broker 4  Banking        110       16        2/28/2021 9:46:04 PM
Broker 2  Commodity      679       16        2/28/2021 9:46:04 PM
Broker 4  Commodity      679       16        2/28/2021 9:46:04 PM
Broker 1  Retail         39        17        2/28/2021 9:46:04 PM
Broker 4  Retail         39        17        2/28/2021 9:46:04 PM
Broker 1  Technology     195       17        2/28/2021 9:46:04 PM
Broker 2  Technology     195       17        2/28/2021 9:46:04 PM
Broker 2  Banking        110       17        2/28/2021 9:46:04 PM
Broker 3  Banking        110       17        2/28/2021 9:46:04 PM
Broker 4  Banking        110       17        2/28/2021 9:46:04 PM
Broker 3  Technology     195       17        2/28/2021 9:46:04 PM
Broker 4  Technology     195       17        2/28/2021 9:46:04 PM
Broker 2  Commodity      691       17        2/28/2021 9:46:04 PM
Broker 4  Commodity      691       17        2/28/2021 9:46:04 PM
Broker 1  Retail         39        18        2/28/2021 9:46:05 PM
Broker 4  Retail         39        18        2/28/2021 9:46:05 PM
Broker 2  Banking        111       18        2/28/2021 9:46:05 PM
Broker 1  Technology     199       18        2/28/2021 9:46:05 PM
Broker 2  Technology     199       18        2/28/2021 9:46:05 PM
Broker 3  Technology     199       18        2/28/2021 9:46:05 PM
Broker 4  Technology     199       18        2/28/2021 9:46:05 PM
Broker 3  Banking        111       18        2/28/2021 9:46:05 PM
Broker 4  Banking        111       18        2/28/2021 9:46:05 PM
Broker 2  Commodity      703       18        2/28/2021 9:46:05 PM
Broker 4  Commodity      703       18        2/28/2021 9:46:05 PM
Broker 1  Retail         39        19        2/28/2021 9:46:05 PM
Broker 4  Retail         39        19        2/28/2021 9:46:05 PM
Broker 1  Technology     201       19        2/28/2021 9:46:05 PM
Broker 2  Banking        114       19        2/28/2021 9:46:05 PM
Broker 3  Banking        114       19        2/28/2021 9:46:05 PM
Broker 4  Banking        114       19        2/28/2021 9:46:05 PM
Broker 2  Technology     201       19        2/28/2021 9:46:05 PM
Broker 3  Technology     201       19        2/28/2021 9:46:05 PM
Broker 4  Technology     201       19        2/28/2021 9:46:05 PM
Broker 2  Commodity      718       19        2/28/2021 9:46:05 PM
Broker 4  Commodity      718       19        2/28/2021 9:46:05 PM
Broker 1  Retail         40        20        2/28/2021 9:46:06 PM
Broker 4  Retail         40        20        2/28/2021 9:46:06 PM
Broker 2  Banking        117       20        2/28/2021 9:46:06 PM
Broker 1  Technology     205       20        2/28/2021 9:46:06 PM
Broker 2  Technology     205       20        2/28/2021 9:46:06 PM
Broker 3  Technology     205       20        2/28/2021 9:46:06 PM
Broker 4  Technology     205       20        2/28/2021 9:46:06 PM
Broker 3  Banking        117       20        2/28/2021 9:46:06 PM
Broker 4  Banking        117       20        2/28/2021 9:46:06 PM
Broker 2  Commodity      720       20        2/28/2021 9:46:06 PM
Broker 4  Commodity      720       20        2/28/2021 9:46:06 PM
Broker 1  Retail         41        21        2/28/2021 9:46:06 PM
Broker 4  Retail         41        21        2/28/2021 9:46:06 PM
Broker 1  Technology     206       21        2/28/2021 9:46:06 PM
Broker 2  Technology     206       21        2/28/2021 9:46:06 PM
Broker 2  Banking        119       21        2/28/2021 9:46:06 PM
Broker 3  Banking        119       21        2/28/2021 9:46:06 PM
Broker 4  Banking        119       21        2/28/2021 9:46:06 PM
Broker 3  Technology     206       21        2/28/2021 9:46:06 PM
Broker 4  Technology     206       21        2/28/2021 9:46:06 PM
Broker 2  Commodity      739       21        2/28/2021 9:46:06 PM
Broker 4  Commodity      739       21        2/28/2021 9:46:06 PM
Broker 1  Retail         41        22        2/28/2021 9:46:07 PM
Broker 4  Retail         41        22        2/28/2021 9:46:07 PM
Broker 2  Banking        120       22        2/28/2021 9:46:07 PM
Broker 1  Technology     207       22        2/28/2021 9:46:07 PM
Broker 2  Technology     207       22        2/28/2021 9:46:07 PM
Broker 3  Technology     207       22        2/28/2021 9:46:07 PM
Broker 4  Technology     207       22        2/28/2021 9:46:07 PM
Broker 3  Banking        120       22        2/28/2021 9:46:07 PM
Broker 4  Banking        120       22        2/28/2021 9:46:07 PM
Broker 2  Commodity      752       22        2/28/2021 9:46:07 PM
Broker 4  Commodity      752       22        2/28/2021 9:46:07 PM
Broker 1  Retail         42        23        2/28/2021 9:46:07 PM
Broker 4  Retail         42        23        2/28/2021 9:46:07 PM
Broker 1  Technology     207       23        2/28/2021 9:46:07 PM
Broker 2  Banking        120       23        2/28/2021 9:46:07 PM
Broker 3  Banking        120       23        2/28/2021 9:46:07 PM
Broker 4  Banking        120       23        2/28/2021 9:46:07 PM
Broker 2  Technology     207       23        2/28/2021 9:46:07 PM
Broker 3  Technology     207       23        2/28/2021 9:46:07 PM
Broker 4  Technology     207       23        2/28/2021 9:46:07 PM
Broker 2  Commodity      767       23        2/28/2021 9:46:07 PM
Broker 4  Commodity      767       23        2/28/2021 9:46:07 PM
Broker 1  Retail         43        24        2/28/2021 9:46:08 PM
Broker 4  Retail         43        24        2/28/2021 9:46:08 PM
Broker 2  Banking        122       24        2/28/2021 9:46:08 PM
Broker 1  Technology     208       24        2/28/2021 9:46:08 PM
Broker 2  Technology     208       24        2/28/2021 9:46:08 PM
Broker 3  Technology     208       24        2/28/2021 9:46:08 PM
Broker 4  Technology     208       24        2/28/2021 9:46:08 PM
Broker 3  Banking        122       24        2/28/2021 9:46:08 PM
Broker 4  Banking        122       24        2/28/2021 9:46:08 PM
Broker 2  Commodity      777       24        2/28/2021 9:46:08 PM
Broker 4  Commodity      777       24        2/28/2021 9:46:08 PM
Broker 1  Retail         44        25        2/28/2021 9:46:08 PM
Broker 4  Retail         44        25        2/28/2021 9:46:08 PM
Broker 1  Technology     210       25        2/28/2021 9:46:08 PM
Broker 2  Banking        125       25        2/28/2021 9:46:08 PM
Broker 3  Banking        125       25        2/28/2021 9:46:08 PM
Broker 4  Banking        125       25        2/28/2021 9:46:08 PM
Broker 2  Technology     210       25        2/28/2021 9:46:08 PM
Broker 3  Technology     210       25        2/28/2021 9:46:08 PM
Broker 4  Technology     210       25        2/28/2021 9:46:08 PM
Broker 2  Commodity      792       25        2/28/2021 9:46:09 PM
Broker 4  Commodity      792       25        2/28/2021 9:46:09 PM
